orden_id;order_item_id;producto_id;vendedor_id;fecha_envio_limite;precio;valor_flete;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto
4745PQ96B;B;PQ96;VE9434;19/07/2017 9:54;18.11;0.61;Lácteos;33;1;28;13;10;25;18
86031PA11A;A;PA11;VE5979;18/07/2017 20:53;54.28;2.61;Electrodomésticos;20;21;5;1054;60;12;42
48356PE35A;A;PE35;VE5049;11/09/2017 19:14;61.51;13.1;Tecnología;25;14;39;223;39;33;48
46191PM59A;A;PM59;VE5993;05/06/2018 13:40;80.13;52.63;Ferretería;13;39;4;2687;26;13;45
67031PA57A;A;PA57;VE5783;31/08/2017 14:06;77.88;22.67;Electrodomésticos;40;26;23;4450;44;33;34
4170PC49B;B;PC49;VE8942;09/04/2018 8:14;56.79;46.08;Ropa infantil;34;16;24;6868;17;37;1
86490PF63A;A;PF63;VE2821;15/10/2017 19:56;71.54;2.6;Muebles;8;31;6;1153;2;18;6
34746PK34A;A;PK34;VE3166;06/06/2018 23:00;65.91;1.84;Deportes;10;20;34;530;21;10;16
97735PP23A;A;PP23;VE8782;05/12/2017 8:18;80.48;36.29;Licor;26;12;9;221;44;19;21
111743PI80A;A;PI80;VE9864;16/07/2017 3:20;170.42;35.55;Juguetes;33;20;0;3357;27;15;56
108142PJ88A;A;PJ88;VE3880;20/12/2017 1:03;32.69;10.1;Mascotas;9;25;5;472;4;4;33
62438PJ94A;A;PJ94;VE8494;09/11/2017 13:26;22.79;5.17;Mascotas;18;15;6;241;31;39;18
66795PD20A;A;PD20;VE1340;22/08/2017 1:41;318.52;10.7;Celulares;36;4;22;1648;32;27;30
101288PN55A;A;PN55;VE4002;10/02/2018 20:08;10.32;56.85;Dormitorio;11;7;22;299;46;12;4
46148PC10A;A;PC10;VE6777;16/08/2017 17:01;66.07;0.96;Ropa infantil;13;18;22;4155;45;26;25
49007PT53A;A;PT53;VE2233;29/09/2017 21:31;107.16;7.83;Tarjetas regalo;33;27;36;365;54;32;17
110084PQ47A;A;PQ47;VE6608;26/04/2018 11:14;274.89;11.22;Lácteos;0;5;23;7079;8;4;42
27881PL69B;B;PL69;VE9186;08/12/2017 13:46;34.13;50.04;Libros;10;26;29;5223;34;17;31
60102PB23A;A;PB23;VE8699;11/03/2018 13:29;137.06;19.25;Ropa de adultos;15;25;37;437;25;26;19
106883PS26A;A;PS26;VE2887;02/08/2017 14:07;40.71;9.45;Carnicería;29;26;39;1006;15;10;8
