orden_id;codigo_postal_vendedor;ciudad_vendedor;departamento_vendedor
107500PO59A;52435;Mallama;Nariño
37493PS22B;52203;Colon;Nariño
28050PK20B;66001;Pereira;Risaralda
52187PA10A;52435;Mallama;Nariño
84639PR12A;73001;Ibague;Tolima
73003PS37A;52356;Ipiales;Nariño
41673PB76A;52240;Chachagui;Nariño
61340PD21A;50683;San juan de arama;Meta
6725PK32A;52381;La florida;Nariño
41805PP22A;66001;Pereira;Risaralda
72523PG54A;81001;Arauca;Arauca
11139PA88A;70001;Sincelejo;Sucre
23409PQ21A;8001;Barranquilla;Atlantico
37362PT19A;54003;Abrego;Norte de santander
52160PT82A;54003;Abrego;Norte de santander
94053PO72A;52051;Arboleda;Nariño
62783PG32A;52480;Nariño;Nariño
12622PN88A;70001;Sincelejo;Sucre
70749PI65A;52473;Mosquera;Nariño
45233PN94A;5002;Abejorral;Antioquia
20662PO89A;54003;Abrego;Norte de santander
97792PM45A;70001;Sincelejo;Sucre
101920PP76C;52565;Providencia;Nariño
89816PE75A;52323;Gualmatan;Nariño
28076PD94A;95001;San jose del guaviare;Guaviare
65719PM57A;50683;San juan de arama;Meta
4179PN59A;54003;Abrego;Norte de santander
95353PC17A;13006;Achi;Bolivar
104961PJ24A;66001;Pereira;Risaralda
29021PG33A;17001;Manizales;Caldas
87762PE65A;52565;Providencia;Nariño
93824PP89A;52490;Olaya herrera;Nariño
8653PO99A;54003;Abrego;Norte de santander
84081PB54A;13006;Achi;Bolivar
25095PT40A;52399;La union;Nariño
32692PJ99A;52565;Providencia;Nariño
27294PI99A;52356;Ipiales;Nariño
63810PC38A;52378;La cruz;Nariño
74218PT44A;52565;Providencia;Nariño
97099PB61A;52427;Magui;Nariño
112492PL78A;52051;Arboleda;Nariño
66573PG32A;8001;Barranquilla;Atlantico
1884PR80A;52323;Gualmatan;Nariño
65604PG73A;52207;Consaca;Nariño
80680PB28A;68001;Bucaramanga;Santander
601PF40A;73001;Ibague;Tolima
37866PF67A;91001;Leticia;Amazonas
95315PE34A;13006;Achi;Bolivar
30874PL12A;23001;Monteria;Cordoba
45779PG24A;18001;Florencia;Caqueta
8102PD64A;8001;Barranquilla;Atlantico
63365PN85B;76001;Cali;Valle del cauca
5896PE70A;54003;Abrego;Norte de santander
16862PO26A;76001;Cali;Valle del cauca
106293PO94A;19001;Popayan;Cauca
62927PM62A;50001;Villavicencio;Meta
63085PQ60A;13006;Achi;Bolivar
63072PL92A;52207;Consaca;Nariño
22999PC87A;52490;Olaya herrera;Nariño
15255PL41A;13006;Achi;Bolivar
18232PI10A;17001;Manizales;Caldas
58099PA49A;52051;Arboleda;Nariño
12185PG91A;50686;San juanito;Meta
112582PE80A;70001;Sincelejo;Sucre
77747PS40A;52210;Contadero;Nariño
46409PT12A;18001;Florencia;Caqueta
60909PJ51A;52435;Mallama;Nariño
15648PO66A;52210;Contadero;Nariño
104648PP97A;52079;Barbacoas;Nariño
42209PC48B;54003;Abrego;Norte de santander
15660PR43A;76001;Cali;Valle del cauca
38076PO35C;52540;Policarpa;Nariño
3343PR75B;66001;Pereira;Risaralda
103560PL45A;11001;Bogota d.c.;Bogota d.c.
3238PM71A;70001;Sincelejo;Sucre
103241PP78A;13006;Achi;Bolivar
31860PD43B;52203;Colon;Nariño
